Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 166,'پائیدار زراعت کیا ہے؟','What is sustainable agriculture?',"'\n\n[User 0001]\n\nپائیدار زراعت کیا ہے؟\n \n\n[User 0002]\n\nپائیدار زراعت کی تعریف کیا ہے؟\n
\n\n[User 0003]\n\nپائیدار زراعت کی'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 167,'ہنسی جسم کو کیسے متاثر کرتی ہے؟','How does laughter affect the body?',"'\n\nہنسی جسم کو کیسے متاثر کرتی ہے؟\n\nہنسی جسم کو کیسے متاثر کرتی ہے؟\n\nہنسی جسم کو کیسے متاثر
کرتی ہے؟\n\nہنسی جسم کو کیسے متاثر کرتی ہے؟'","""\n\n<h2>Noun:</h2>\n\nہنسی,\n\n<h2>hensi's Usage Examples:</h2>\n\nThe <b>hensi</b>s are a group of
small, flightless birds of the family Rallidae, found in the Indian subcontinent.\n\nThe
<b>hensi</b>s are a group of small""",این ایچ ای این ایس : این ایچ ای این ایس استعمال کے مثالیں : این ایچ ای این ایس خاندان ریلڈ اے میں پائے جانے والے چھوٹے پرواز کے بغیر پرندوں کا ایک گروپ ہے ۔
Query 168,'انسانی لیمفاٹک نظام کا مقصد کیا ہے؟',"""What's the purpose of the human lymphatic system?""","'\n\nانسانی لیمفاٹک نظام کا مقصد کیا ہے؟\n\nانسانی لیمفاٹک نظام کا مقصد کیا ہے؟\n\nانسانی لیمفاٹک
نظام کا مقصد کیا ہے؟\n\nانسانی لیمفاٹک نظام کا مقصد کیا ہے؟\n\nانسانی ل'","""\n\n<h2>lymphatic system's Usage Examples:</h2>\n\nThe <b>lymphatic system</b> is a network of
tissues and organs that drains excess fluid from the tissues and transports it to the blood.\n\nThe
<b>lymphatic system</b> is a network of tissues and organs that drains excess fluid from the tissues
and transports""",لوتھیٹک سسٹم کے استعمال کے مثالیں : &; لوتھیٹک سسٹم &; ایک ٹکڑوں اور اعضا کے نیٹ ورک ہے جو ٹکڑوں سے اضافی پانی نکالتا ہے اور اسے خون میں پہنچاتا ہے ۔
Query 169,'زبانیں کیسے تیار ہوتی ہیں؟','How do languages evolve?',"'\n\n[User 0001]\n\n<b>زبانیں کیسے تیار ہوتی ہیں؟</b>\n\n<b>زبانیں کیسے تیار ہوتی
ہیں؟</b>\n\n<b>زبانیں کیسے تیار ہوتی ہیں؟</b>\n\n<b>زبانیں کیسے تیار'","'\n\n<h2>How to make a sentence with words from other languages \u200b\u200b?</h2>\n\nHow to make a
sentence with words from other languages \u200b\u200b? and what is the meaning of these words in
English translation of Urdu sentences.\n\n<h2>How to make a sentence with words from other languages
\u200b\u200b?</h2>\n\nHow to make a sentence'",دیگر زبانوں سے الفاظ کے ساتھ ایک sentence بنانے کا کیا طریقہ ہے ؟ اور انگریزی ترجمہ میں ان الفاظ کا معنی کیا ہے ؟ ۔
Query 170,'پٹھوں کے درد کے پیچھے سائنس کیا ہے؟',"""What's the science behind muscle cramps?""","' پٹھوں کے درد کے پیچھے سائنس کیا ہے؟ پٹھوں کے درد کے پیچھے سائنس کیا ہے؟ پٹھوں کے درد کے پیچھے
سائنس کیا ہے؟ پٹھوں کے درد کے پیچھے سائنس کیا ہے؟ پٹھوں'","'\n\n[User 0001]\n\n<b>پٹھوں کے درد</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b
>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 171,'درجہ حرارت ہوا کے دباؤ کو کیسے متاثر کرتا ہے؟','How does temperature affect air pressure?',"'\n\n[User 0001]\n\nمیں نے ایک بار ایک سوال پوچھا تھا کہ ہوا کے دباؤ کو کیسے متاثر کرتا ہے؟\n\nمیں
نے اسے Google پر تلاش کیا اور اسے یوں پڑھا:\n\n<blockquote>ہوا کے دبا'","'\n\n[User 0001]\n\nI am a student of physics and I am doing a project on the effect of temperature
on the atmospheric pressure. I want to know that how the temperature of the atmosphere affects the
atmospheric pressure.\n \n\n[User 0002]\n\nThe atmospheric pressure is'",میں فزیکل کے طالب علم ہوں اور میں ماحولیاتی دباؤ پر درجہ حرارت کے اثرات کے بارے میں ایک پروجیکٹ کر رہا ہوں ۔ مجھے یہ جاننا چاہتا ہوں کہ ماحولیاتی درجہ حرارت کس طرح ماحولیاتی دباؤ کو متاثر کرتا ہے ۔
Query 172,'غربت کی بنیادی وجوہات کیا ہیں؟','What are the main causes of poverty?',"'\n\n[User 0001]\n\n<blockquote>یہ بھی ہے کہ یہاں سے ہمارے پاس کوئی بھی اہل علم نہیں ہے، ہمارے پاس
کوئی بھی اہل علم نہیں ہے، ہمارے پاس کوئی بھی اہل علم نہیں ہے، ہمارے'","'\n\n<h2>The Causes of Westernization</h2>\n\nThe Causes of Westernization\n\nThe term
“westernization” is used to refer to the process of adopting the social, political, and economic
practices of the West. It is a complex phenomenon that has been the subject of extensive research
and debate in various fields, including sociology,'",۔ Westernization کی وجوہات ۔ Westernization کی وجوہات : مغربی ممالک کی سماجی ، سیاسی اور اقتصادی روایات کو اپنانے کے عمل کی طرف اشارہ کرتے ہوئے یہ لفظ استعمال کیا جاتا ہے ۔ یہ ایک پیچیدہ حقیقت ہے ، جسے سماجی علوم سمیت مختلف شعبوں میں تحقیق اور بحث کا موضوع بنا دیا جاتا ہے ۔
Query 173,'ٹیم ورک سے پیداواری صلاحیت کو کیسے فائدہ ہوتا ہے؟','How does teamwork benefit productivity?',"'\n\n[User 0001]\n\nٹیم ورک سے پیداواری صلاحیت کو کیسے فائدہ ہوتا ہے؟\n\n[User 0002]\n\nٹیم ورک سے
پیداواری صلاحیت کو کیسے فائدہ ہوتا ہے؟'","'\n\n[User 0001]\n\n<b><i><u>\nWhat is the benefit of team work?</u></i></b>\n \n\n[User
0002]\n\n<b><i><u>\nWhat is the benefit of team work?</u></i></b>\n \n\n[User 0003]\n\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 174,'کمپیوٹر سائنس میں کچھ عام الگورتھم کیا ہیں؟','What are some common algorithms in computer science?',"'\n\n[User 0001]\n\nکمپیوٹر سائنس میں کچھ عام الگورتھم کیا ہیں؟\n\n[User 0002]\n\nبہت سے الگورتھم
ہیں، لیکن یہاں آپ کو صرف چند الگورتھم بت'","'\n\n[User 0001]\n\nI am a student of computer science and I want to know that what are some common
algorithms in computer science?\n \n\n[User 0002]\n\nYou can find the list of algorithms in any book
of computer science.\n \n\n[User '",۔ میں کمپیوٹر سائنس کے طالب علم ہوں اور مجھے یہ جاننا چاہتا ہوں کہ کمپیوٹر سائنس میں عام الگوریتم کیا ہیں ؟ ۔
Query 175,'ڈیجیٹل کرنسی روایتی کرنسی سے کیسے مختلف ہے؟','How does digital currency differ from traditional currency?',"' ڈیجیٹل کرنسی روایتی کرنسی سے کیسے مختلف ہے؟ ڈیجیٹل کرنسی روایتی کرنسی سے کیسے مختلف ہے؟ ڈیجیٹل
کرنسی روایتی کرنسی سے کیسے مختلف ہے؟ ڈ'","""\n\n<h2>cryptocurrency's Usage Examples:</h2>\n\nThe <b>cryptocurrency</b> market is a market for
the trading of <b>cryptocurrency</b>s, which are digital or virtual currencies that are not issued
by any central.\n\nThe <b>cryptocurrency</b> market is a market for the trading of <b>crypto""",کُرنسی کے استعمال کے مثالیں : کُرنسی مارکیٹ کُرنسی کی تجارت کے لئے ایک منڈی ہے جو کہ کُرنسی کی تجارت کا ذریعہ ہے ، جو کہ ڈیجیٹل یا ورچوول کرنسی ہیں جو کہ کسی مرکزی کے ذریعہ نہیں جاری کی جاتیں ۔ کُرنسی مارکیٹ کُرنسی کی تجارت کے لئے ایک منڈی ہے ۔
Query 176,'انسانی تلاش کی تاریخ کیا ہے؟',"""What's the history of human exploration?""","'\n\nانسانی تلاش کی تاریخ کیا ہے؟\n\nانسانی تلاش کی تاریخ کیا ہے؟\n\nانسانی تلاش کی تاریخ کیا
ہے؟\n\nانسانی تلاش کی تاریخ کیا ہے؟\n\nانسانی تلاش کی تاریخ کیا ہے؟\n\nانسانی تلاش کی تاریخ کیا
ہے؟\n\nانسانی تلاش کی تاریخ کیا ہے؟\n\n'","'\n\n[User 0001]\n\n<b><i><u>\nThe History of Human
Efforts\n</u></i></b>\n<b><i><u>\nBy\n</u></i></b>\n<b><i><u>\nDr. Muhammad Ali
Shaikh\n</u></i></b>\n<b><i><u>\nPublished By\n</u></i></b>\n<b><i><u>\nThe'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 177,'پودے کاربن سائیکلنگ میں کس طرح حصہ ڈالتے ہیں؟','How do plants contribute to carbon cycling?',"'\n\n[User 0001]\n\nپودے کاربن سائیکلنگ میں کس طرح حصہ ڈالتے ہیں؟\n \n\n[User 0002]\n\nپودے کاربن
سائیکلنگ میں کس طرح حصہ ڈالتے ہیں؟\n '","'\n\n[User 0001]\n\n<b>پودے</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon
Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon
Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon Cycle</b>\n\n<b>Carbon Cycle'",یوزر وائی فائی :....
Query 178,'قابل تجدید اور ناقابل تجدید وسائل میں کیا فرق ہے؟',"""What's the difference between renewable and nonrenewable resources?""","'\n\n[User 0001]\n\nالسلام علیکم\n\nمیں نے ایک کتاب پڑھی ہے جس میں یہ بات بتائی گئی ہے کہ\n\nقابل
تجدید اور ناقابل تجدید وسائل میں کیا فرق ہے؟\n\nمیں نے اس بات کو سمجھا کہ قابل'","'\n\n[User 0001]\n\n<b>قابل تجدید اور ناقابل تجدید</b>\n\n<b>What is the difference between the two
words</b>\n\n<b>I have heard that</b>\n\n<b>1)</b> <b>قابل</b> <b>means</b> <b>can be</b> <b>and</b>
'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ تجدید شدہ اور ناقابل تجدید دونوں کے درمیان کیا فرق ہے ؟ یوزر ؍ تجدید شدہ اور ناقابل تجدید دونوں کے درمیان فرق کیا ہے ؟
Query 179,'افراط زر معیشت کو کیسے متاثر کرتا ہے؟','How does inflation affect the economy?',"'\n\nافراط زر کی وجہ سے معیشت میں بہت سی تبدیلیاں رونما ہوتی ہیں، اس کے نتیجے میں معیشت میں بہت سی
تبدیلیاں رونما ہوتی ہیں، اس کے نتیجے میں معیشت میں بہت سی تبدیلیاں'","'\n\n[User 0001]\n\nI have a question that I am not able to understand.\nI have read that in the
case of overeating, the body is not able to digest the food properly and the excess fat is stored in
the body.\nBut in the case of overeating, the'",میرے پاس ایک سوال ہے جو میں سمجھ نہیں سکتا ۔ میں نے پڑھا ہے کہ افراط در افراط کھانے کی صورت میں بدن صحیح طریقے سے خوراک کو جذب نہیں کر سکتا اور بدن میں اضافی چربی ذخیرہ ہوتی ہے ، لیکن افراط در افراط کھانے کی صورت میں بدن میں اضافی چربی ذخیرہ ہوتی ہے ۔
Query 180,'زمین کی تزئین کی فوٹو گرافی کی بنیادی باتیں کیا ہیں؟','What are the basics of landscape photography?',"'\n\nزمین کی تزئین کی فوٹو گرافی کی بنیادی باتیں کیا ہیں؟\n\nزمین کی تزئین کی فوٹو گرافی کی بنیادی
باتیں کیا ہیں؟\n\nزمین کی تزئین کی فوٹو گرافی کی بنیادی باتیں کیا ہیں؟\n\nزمین کی تز'","'\n\n<h2>About Photograpy</h2>\n\nThe basic principles of photograpy are:\n\n1. The light is the
most important factor in photography.\n2. The light should be natural and should not be
artificial.\n3. The subject should be in focus and the background should be blurred.\n4. The'",فوٹو گرافی کے بنیادی اصول یہ ہیں کہ فوٹو گرافی میں نور سب سے اہم عنصر ہے ۔ یہ نور غیر مصنوعی نہیں ہونا چاہئے ۔ اس کے ساتھ ساتھ تصویر کا مرکز بھی توجہ کا مرکز ہو اور تصویر کا پس منظر بھی واضح ہو ۔
Query 181,'رولر کوسٹر کیسے کام کرتے ہیں؟','How do roller coasters work?',"'\n\nرولر کوسٹر کیسے کام کرتے ہیں؟\n\nرولر کوسٹر کیسے کام کرتے ہیں؟\n\nرولر کوسٹر کیسے کام کرتے
ہیں؟\n\nرولر کوسٹر کیسے کام کرتے ہیں؟\n\nرولر کوسٹر کیس'","'\n\nرولر کوسٹر What are roller coasters?\n\nرولر کوسٹر What are roller coasters?\n\nرولر کوسٹر What
are roller coasters?\n\nرولر کوسٹر What are roller coasters?\n\nرولر کوسٹر What are roller
coasters?\n\nرولر کوسٹر What are roller'",رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر ، رولر کوسٹر
Query 182,'مدافعتی نظام کا مقصد کیا ہے؟',"""What's the purpose of the immune system?""","'\n\n[User 0001]\n\nمدافعتی نظام کا مقصد کیا ہے؟\n\n[User 0002]\n\nمدافعتی نظام کا مقصد یہ ہے کہ کسی
بھی قسم کی حملے سے بچنے کے لیے نظام کو تیار کیا جائے۔\n\n[User 0'","'\n\n[User 0001]\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>
\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n\n<b>\n
\n<b>\n\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 183,'مراقبہ دماغ کی لہروں کو کیسے متاثر کرتا ہے؟','How does meditation affect brain waves?',"'\n\n[User 0001]\n\nمراقبہ دماغ کی لہروں کو کیسے متاثر کرتا ہے؟\n\n[User 0002]\n\nمراقبہ دماغ کی
لہروں کو کیسے متاثر کرتا'","'\n\n[User 0001]\n\nI have been reading that the brain is the most delicate organ of the body and it
is very important to take care of it. I have been reading that the brain is the most delicate organ
of the body and it is very important to take care of it. I have'",میں پڑھ رہا ہوں کہ دماغ بدن کا سب سے حساس حصہ ہے اور اس کی دیکھ بھال کرنا بہت ضروری ہے ۔ میں پڑھ رہا ہوں کہ دماغ بدن کا سب سے حساس حصہ ہے اور اس کی دیکھ بھال کرنا بہت ضروری ہے ۔
Query 184,'کچھ مشہور قدیم نشانات کیا ہیں؟','What are some famous ancient landmarks?',"'\n\n[User 0001]\n\nکچھ مشہور قدیم نشانات کیا ہیں؟\n\n[User 0002]\n\n<strong>مشرق</strong>\n\n<stron
g>مشرق</strong>\n\n<strong>مشرق</strong>\n\n<strong>مشرق</strong>\n\n<strong>مشرق</strong>\n\n<stron
g>م'","'\n\n[User 0001]\n\n<b>کچھ مشہور قدیم نشانات کیا ہیں؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n<
/b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر کیا ہیں ؟
Query 185,'کاروبار مارکیٹ کی تحقیق کیسے کرتے ہیں؟','How do businesses conduct market research?',"'\n\n[User 0001]\n\nکاروبار مارکیٹ کی تحقیق کیسے کرتے ہیں؟\n \n\n[User 0002]\n\nکاروبار مارکیٹ کی
تحقیق کیسے کرتے ہیں؟\n \n\n[User 0003'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 186,'نیوروپلاسٹیٹی کیا ہے؟','What is neuroplasticity?',"' نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف
نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف نیوروپلاسٹیٹی کی تعریف'","'\n\n[User 0001]\n\nI am a student of 12th class and I am preparing for my board exams. I have a
doubt that what is the meaning of the word ""نیوروپلاسٹیٹی "" and what is its full form?\n \n\n[User
00'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 187,'بلاکچین ڈیٹا سیکیورٹی کو کیسے یقینی بناتا ہے؟','How does blockchain ensure data security?',"' بلاکچین ڈیٹا سیکیورٹی کو کیسے یقینی بناتا ہے؟ بلاکچین ڈیٹا سیکیورٹی کو کیسے یقینی بناتا ہے؟
بلاکچین ڈیٹا سیکیورٹی کو کیسے یقینی بناتا'","'\n\n[User 0001]\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچ
ین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n<b>بلاکچین</b>\n\n'",۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین ۔بلاکچین
Query 188,'صحت پر فاسٹ فوڈ کا کیا اثر ہے؟',"""What's the impact of fast food on health?""","'\n\nصحت پر فوڈ کا کیا اثر ہے؟\n\nصحت پر فوڈ کا کیا اثر ہے؟\n\nصحت پر فوڈ کا کیا اثر ہے؟\n\nصحت پر
فوڈ کا کیا اثر ہے؟\n\nصحت پر فوڈ کا کیا اثر ہے؟\n\nصحت پر'","'\n\n[User 0001]\n\nI am 15 years old and I am very overweight. I am 5 feet 4 inches tall and weigh
120 pounds. I am very worried about my weight and I want to lose weight. I am very active and I do
exercise daily.'",یوزر وائی فائی : میں سال کی عمر کا ہوں اور میں بہت زیادہ وزن کا حامل ہوں ۔ میں پانچ فٹ چار ٹکڑے کا ہوں اور وزن 120 پاؤنڈ کا ہوں ۔ مجھے وزن کے بارے میں بہت زیادہ تشویش ہے اور میں وزن کم کرنا چاہتا ہوں ۔ میں بہت سرگرم ہوں اور روزانہ ورزش کرتا ہوں ۔
Query 189,'سمندری تیزابیت سمندری زندگی کو کس طرح متاثر کرتی ہے؟','How does ocean acidification affect marine life?',"' سمندری تیزابیت سمندری تیزابیت سمندری تیزابیت سمندری تیزابیت سمندری تیزابیت سمندری تیزابیت سمندری
تیزابیت سمندری تیزابیت سمندری تیزابیت سم'","'\n\n[User 0001]\n\nI have a 2008 model 1.3cc Suzuki Swift and I am facing a problem in its engine.
It is giving me a lot of trouble. It is giving me a lot of trouble in starting. It is giving me a
lot of trouble'",میرے پاس ایک سال کے ماڈل کا ایک Suzuki Swift ہے اور مجھے اس کے انجن میں ایک مشکل کا سامنا کرنا پڑا ہے ۔ مجھے بہت سے مشکلات کا سامنا کرنا پڑا ہے ۔ شروع کرنے میں بہت سے مشکلات کا سامنا کرنا پڑا ہے ۔
Query 190,'مقصد اور ساپیکش حقیقت میں کیا فرق ہے؟',"""What's the difference between objective and subjective reality?""","'\n\n[User 0001]\n\nالسلام علیکم و رحمة الله و بركاته\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n
\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n '","'\n\n[User 0001]\n\n<b>What is the difference between destination and purpose?</b>\n\n<b>I have
heard that the word ""destination"" is used in the context of a place and ""purpose"" is used in the
context of a thing.</b>\n\n<b>Is it true?</b>\n\n<b>If'",جواب : مقصد اور مقصد میں کیا فرق ہے ؟ جواب : میں نے سنا ہے کہ مقصد کا لفظ ایک جگہ کے تناظر میں استعمال ہوتا ہے اور مقصد کا لفظ کسی چیز کے تناظر میں استعمال ہوتا ہے ۔ کیا یہ حق ہے ؟ جواب : اگر ہے ۔
Query 191,'موسیقی انسانی جذبات کو کس طرح متاثر کرتی ہے؟','How does music influence human emotions?',"'\n\n[User 0001]\n\nموسیقی انسانی جذبات کو کس طرح متاثر کرتی ہے؟\n\n[User 0002]\n\nموسیقی انسانوں کو
جذباتی طور پر متاثر کرتی ہے، لیکن یہ متاثر ہونے کا'","'\n\n[User 0001]\n\n<b><i><u>\nI have a question that is how music affects our
emotions?\n</u></i></b>\n \n\n[User 0002]\n\n<b><i><u>\nI think it depends on the type of music and
the mood you are in.\n</u>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 192,'کہانی سنانے کے اہم عنصر کیا ہیں؟','What are the main elements of storytelling?',"'\n\n[User 0001]\n\nکہانی سنانے کے اہم عنصر کیا ہیں؟\n \n\n[User 0002]\n\n<b>اسلام میں کہانیاں سنانے
کے اہم عنصر کیا ہیں؟</b>\n\nاسلام میں کہانیاں س'","'\n\n[User 0001]\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n
<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>\n\n<b>کہانی</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر
Query 193,'ہجرت کے دوران پرندے کیسے تشریف لے جاتے ہیں؟','How do birds navigate during migration?',"'\n\n[User 0001]\n\nہجرت کے دوران پرندے کیسے تشریف لے جاتے ہیں؟\n\n[User 0002]\n\nبہت سے پرندے اپنے
آپ کو جگہ سے باہر نکالنے کے لیے اپنے ذہن'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 194,'ابتدائی طبی امداد کے اصول کیا ہیں؟','What are the principles of first aid?',"'\n\nابتدائی طبی امداد کے اصول کیا ہیں؟\n\nابتدائی طبی امداد کے اصول کیا ہیں؟\n\nابتدائی طبی امداد
کے اصول کیا ہیں؟\n\nابتدائی طبی امداد کے اصول کیا ہیں؟\n\nابتدائی طبی امداد کے اصول کیا ہیں'","'\n\n1.\n\n2.\n\n3.\n\n4.\n\n5.\n\n6.\n\n7.\n\n8.\n\n9.\n\n10.\n\n11.\n\n12.\n\n13.\n\n14.\n\n15.\n\
n16.\n\n17.\n\n18.\n\n'",۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔
Query 195,'دماغ میں میموری کیسے کام کرتی ہے؟','How does memory work in the brain?',"' دماغ میں میموری کیسے کام کرتی ہے؟ دماغ میں میموری کیسے کام کرتی ہے؟ دماغ میں میموری کیسے کام کرتی
ہے؟ دماغ میں میموری کیسے کام کرتی ہے؟ دماغ میں'","'\n\n[User 0001]\n\n<b>دماغ میں میموری کیسے کام کرتی ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>
\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 196,'سائبرسیکیوریٹی کی کیا اہمیت ہے؟',"""What's the importance of cybersecurity?""","' سائبرسیکیوریٹی کی کیا اہمیت ہے؟ سائبرسیکیوریٹی کی کیا اہمیت ہے؟ سائبرسیکیوریٹی کی کیا اہمیت ہے؟
سائبرسیکیوریٹی کی کیا اہمیت ہے؟ سائبرس'","'\n\n[User 0001]\n\n<b>سائبرسیکیوریٹی</b>\n\n<b>What is the importance of cyber
security?</b>\n\n<b>What is the importance of cyber security?</b>\n\n<b>What is the importance of
cyber security?</b>\n\n<b>What is the importance of cyber security?</b>\n\n'",۔ سائبرسیکیوریٹی ۔ سائبرسیکیوریٹی کی اہمیت ۔ سائبر سکیورٹی کی اہمیت ۔ سائبر سکیورٹی کی اہمیت ۔ سائبر سکیورٹی کی اہمیت ۔
Query 197,'مصنوعی ذہانت کا عمل کس طرح ہوتا ہے؟','How does artificial intelligence process data?',"'\n\n[User 0001]\n\nمصنوعی ذہانت کا عمل کس طرح ہوتا ہے؟\n\n[User 0002]\n\n@Ahsan_Ali_Khan\n\n \n\n
\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n'","'\n\n[User 0001]\n\n<b>مصنوعی ذہانت کا What is the process of how it happens?</b>\n\n<b>What is the
process of how the artificial intelligence happens?</b>\n \n\n[User 0002]\n\nIt is a very complex
subject and there are many'",صارف ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ ایک بہت ہی پیچیدہ موضوع ہے اور اس میں بہت سے مسائل موجود ہیں ۔
Query 198,'جرائم کو حل کرنے میں فرانزک سائنس کا کیا کردار ہے؟',"""What's the role of forensic science in solving crimes?""","'\n\n[User 0001]\n\nجرائم کو حل کرنے میں فرانزک سائنس کا کیا کردار ہے؟\n\n[User 0002]\n\nجرائم کو حل
کرنے میں فرانزک سائنس کا کیا کردار ہے؟\n\n[User 00'","'\n\n[User 0001]\n\n<b>جرائم کو حل کرنے میں فرانک سائنس کا What role is played?</b>\n\n<b>I am
reading a book and there is a sentence in it that says:</b>\n\n<b>""The role of Frank science in
solving crimes is not known.""</b>'",.جرائم کو حل کرنے میں فرانک سائنس کا کیا رول ہے ؟ میں ایک کتاب پڑھ رہا ہوں اور اس میں ایک قَسم ہے جو کہتی ہے : ۔
